Prompt,Category,Subject,Context Dependency
Compose a haiku about the sound of a glacier moving.,Creative,Geology,No
Read the attached poem and explain the central metaphor.,Reading,Literature,Yes
Write a C# program to read a CSV file and print its contents to the console.,Programming,Computer Science,No
Why do you see your breath when it's cold outside?,Commonsense,Physics,No
Explain the function of the ribosomes within a biological cell.,Knowledge,Biology,No
"Write a short, suspenseful story that ends on a cliffhanger.",Creative,Literature,No
"Patron: 'Can you recommend a good Italian restaurant nearby?' Concierge: 'Of course. To give you the best options, could you tell me your price range?'",Dialogue,Daily Life,Yes
What are the three main types of rock? Describe how each is formed.,Knowledge,Geology,No
Factor the quadratic expression: 2x² + 7x + 3.,Math,Algebra,No
Outline the key differences between the political systems of ancient Athens and Sparta.,Knowledge,History,No
Provide instructions on how to perform the Heimlich maneuver on an adult.,Instruction,Daily Life,No
Write a JavaScript function that fetches data from an API endpoint and logs the JSON response.,Programming,Computer Science,No
Describe the feeling of 'deja vu' using a creative analogy.,Creative,Daily Life,No
"Based on the provided company financial statement, is the company's profitability increasing or decreasing? Justify your answer.",Reading,Business,Yes
"If you mix all the colors of light together, what color do you get? What about all the colors of paint?",Commonsense,Physics,No
Write a short dialogue where two friends are planning a surprise party for a third friend.,Dialogue,Daily Life,Yes
What is the purpose of a Punnett square in genetics?,Knowledge,Biology,No
Find the derivative of f(x) = sin(x²).,Math,Calculus,No
Create a set of three programming exercises for a beginner learning about 'for' loops.,Instruction,Computer Science,No
Compose a marketing slogan for a company that sells reusable coffee cups.,Creative,Business,No
What is plate tectonics and how does it relate to earthquakes?,Knowledge,Geology,No
Write a Python script to organize files in a directory by their file extension.,Programming,Computer Science,No
Homeowner: 'My internet is not working.' Tech Support: 'I'm sorry to hear that. Have you tried restarting your router yet?',Dialogue,Daily Life,Yes
Explain the greenhouse effect and its role in climate change.,Knowledge,Environment,No
"Write a short, imaginative story about what clouds are made of, from the perspective of a child.",Creative,Literature,No
"Given the attached abstract of a scientific paper, write a one-sentence summary of its findings.",Reading,Research Methods,Yes
"If a map has a scale of 1:100,000, what distance in reality does 5 cm on the map represent?",Math,Arithmetic,No
What is the difference between weather and climate?,Knowledge,Geography,No
"Design a new, more intuitive icon for a 'save' function, moving away from the floppy disk.",Creative,Computer Science,No
Provide a list of five tips for effective public speaking.,Instruction,Study Skills,No
Write a C++ program that uses recursion to calculate the factorial of a number.,Programming,Computer Science,No
Why does ice float on water?,Commonsense,Chemistry,No
"Write a short, dramatic monologue from the perspective of a historical figure facing a major decision.",Creative,History,No
Read the attached terms of service agreement and summarize the clause related to data privacy.,Reading,Daily Life,Yes
Solve for x: 3(x - 2) = 2(x + 1).,Math,Algebra,No
What is the role of the mitochondria in a cell?,Knowledge,Biology,No
Customer: 'I'd like to return an item.' Cashier: 'Certainly. Do you have the order number or the email address used for the purchase?',Dialogue,Business,Yes
Write a brief history of the development of the internet.,Knowledge,History,No
"Create a recipe for a fictional, magical potion. List its ingredients and brewing instructions.",Creative,Literature,No
Write an R script to create a scatter plot from two columns in a data frame.,Programming,Computer Science,No
Explain how a vaccine works to protect the body from disease.,Knowledge,Biology,No
Outline a study plan for a student preparing for a final exam in a history course.,Instruction,Study Skills,No
"If you are facing north and you turn 270 degrees clockwise, which direction are you now facing?",Commonsense,Daily Life,No
"Write a story that begins with the line: 'The map was a fake, but it led somewhere real.'",Creative,Literature,No
"Given the attached conflicting eyewitness reports of an event, identify three points of contradiction.",Reading,Research Methods,Yes
Calculate the hypotenuse of a right-angled triangle with the other two sides being 8 cm and 15 cm.,Math,Geometry,No
What is the difference between a lunar eclipse and a solar eclipse?,Knowledge,Astronomy,No
"Write a Python class for a 'Car' object that has attributes for 'make', 'model', and 'year', and a method to display its details.",Programming,Computer Science,No
Shopper: 'Is this product gluten-free?' Store Employee: 'Let me check that for you. Can you please provide the product's name or barcode number?',Dialogue,Business,Yes
Describe the rock cycle using an analogy of a person's life journey.,Creative,Geology,No
What are the primary colors in the additive (light) and subtractive (pigment) color models?,Knowledge,Physics,No
Provide instructions on how to tie a bowline knot.,Instruction,Daily Life,No
"Find the next number in the sequence: 1, 1, 2, 3, 5, 8, __.",Math,Arithmetic,No
"Write a short scene for a play where two characters are having a conversation, but what they're saying is the opposite of what they mean.",Creative,Literature,No
Write a bash script to count the number of lines in every file within the current directory.,Programming,Computer Science,No
"Based on the attached product reviews, create a list of the top three pros and cons mentioned by users.",Reading,Business,Yes
"Explain why Columbus's voyage in 1492 was significant, beyond 'discovering America'.",Knowledge,History,No
Why is it important to have a diverse portfolio in investing?,Knowledge,Business,No
Design a travel itinerary for a 3-day trip to Paris for a first-time visitor.,Instruction,Travel,No
"Write a short, humorous dialogue between a cat and a dog.",Creative,Daily Life,No
What is the purpose of the 'git clone' command in version control?,Knowledge,Computer Science,No
"Calculate the mean, median, and mode of the following set of numbers: 2, 5, 8, 2, 5, 9, 5, 10.",Math,Arithmetic,No
Write a story about a society where people's shadows have lives of their own.,Creative,Literature,No
Read the attached scientific abstract and rephrase its conclusion for a non-scientific audience.,Reading,Research Methods,Yes
What is the chemical equation for cellular respiration?,Knowledge,Biology,No
Write a Go function that takes an array of integers and returns the sum of all even numbers.,Programming,Computer Science,No
New User: 'I forgot my password.' Automated System: 'No problem. A password reset link has been sent to the email address associated with your account.',Dialogue,Business,Yes
"Explain the difference between renewable and non-renewable energy sources, giving two examples of each.",Knowledge,Environment,No
Create a step-by-step guide for a basic magic trick using a deck of cards.,Instruction,Daily Life,No
"Compose a villain's monologue explaining their motivation, but make it surprisingly relatable.",Creative,Literature,No
What is the significance of the Magna Carta in the history of law?,Knowledge,History,No
Write a Python script to convert a directory of JPEG images to PNG format.,Programming,Computer Science,No
"If you are in a moving car and you toss a ball straight up, where will it land? Explain your answer with respect to inertia.",Commonsense,Physics,No
Find the roots of the equation x² - 5x + 6 = 0.,Math,Algebra,No
Write a short dialogue where a travel agent helps a customer plan a vacation on a tight budget.,Dialogue,Travel,Yes
"Based on the attached historical document, what was the daily life like for a person in that era?",Reading,History,Yes
What is 'confirmation bias'? Provide a real-world example.,Knowledge,Research Methods,No
Imagine you are an urban planner. Propose a creative idea to add more green space to a dense city.,Creative,Environment,No
Write a Java program to implement a stack data structure.,Programming,Computer Science,No
What is the difference between latitude and longitude?,Knowledge,Geography,No
Provide a simplified explanation of Einstein's theory of general relativity using an analogy.,Instruction,Physics,No
"If you have a 3-gallon jug and a 5-gallon jug, how can you measure out exactly 4 gallons of water?",Commonsense,Daily Life,No
"Write a short, spooky story about a haunted vending machine.",Creative,Literature,No
What is the role of an operating system in a computer?,Knowledge,Computer Science,No
Listener: 'Can you tell me about the artist of this song?' Music App Assistant: 'I can try! How do you spell the artist's name?',Dialogue,Daily Life,Yes
Calculate the surface area of a cube with a side length of 4 inches.,Math,Geometry,No
"Read the two attached, opposing editorials on a political issue and summarize the main point of each.",Reading,Business,Yes
Write a Perl script to find all lines in a file that contain the word 'error'.,Programming,Computer Science,No
Explain the process of natural selection using the example of the peppered moth.,Knowledge,Biology,No
"Create a fictional creature and describe its habitat, diet, and behavior.",Creative,Biology,No
What is the purpose of a firewall in network security?,Knowledge,Computer Science,No
"Write a short dialogue between a person and their reflection in the mirror, which has a different personality.",Creative,Literature,No
"If you invest $500 at an annual interest rate of 4% compounded annually, how much will you have after 2 years?",Math,Algebra,No
Outline a plan for a research project to study the effects of social media on teenage self-esteem.,Instruction,Research Methods,No
Write a Ruby method that takes an array and returns a new array with duplicate elements removed.,Programming,Computer Science,No
"Based on the attached weather chart, what is the forecast for tomorrow?",Reading,Geography,Yes
Compose a formal letter of complaint to a company about a faulty product.,Instruction,Business,No
What is the 'Ring of Fire' and where is it located?,Knowledge,Geology,No
"Child: 'I'm bored.' Parent: 'I can help with that. Would you like to hear a joke, a fun fact, or a riddle?'",Dialogue,Daily Life,Yes
Write a short story from the perspective of a single raindrop during a storm.,Creative,Environment,No
What is the difference between an acid and a base?,Knowledge,Chemistry,No
Write a Python script using the Pandas library to read a CSV and calculate the average of a specific column.,Programming,Computer Science,No
"If you are at the equator, are you closer to the center of the Earth than if you are at the North Pole? Why?",Commonsense,Geography,No
Analyze the use of symbolism in the final scene of the attached short story.,Reading,Literature,Yes
"Create a new national holiday. What does it celebrate, and what are its traditions?",Creative,History,No
Solve the system of linear equations: y = 2x + 1 and y = -x + 4.,Math,Algebra,No
What is the historical origin of the Olympic Games?,Knowledge,History,No
"Write a TypeScript interface for a 'User' object with properties for id, name, and email.",Programming,Computer Science,No
Diner: 'Book a table for two at 7 PM.' Restaurant Host: 'Certainly. For what name?',Dialogue,Daily Life,Yes
Explain the concept of 'half-life' using an analogy that doesn't involve radioactivity.,Instruction,Physics,No
Write a scene where a character must make a difficult moral choice.,Creative,Literature,No
What is the function of the ozone layer?,Knowledge,Environment,No
Write a program in Swift that sorts an array of strings alphabetically.,Programming,Computer Science,No
"Based on the attached biography, what was the subject's greatest challenge?",Reading,History,Yes
What are the five stages of grief?,Knowledge,Study Skills,No
Create a fictional proverb and explain its meaning.,Creative,Literature,No
"If you have a bag with 5 red balls and 3 blue balls, what is the probability of picking a blue ball at random?",Math,Arithmetic,No
Write a dialogue between two astronauts witnessing an Earthrise for the first time.,Creative,Astronomy,No
What is the difference between RAM and ROM in a computer?,Knowledge,Computer Science,No
Write an Excel formula to calculate the average of cells A1 through A50.,Instruction,Computer Science,No
Read the attached recipe and scale the ingredients down to serve two people instead of six.,Reading,Culinary Arts,Yes
Describe a color to someone who has never seen it.,Creative,Daily Life,No
What is the freezing and boiling point of water in Celsius and Fahrenheit?,Knowledge,Chemistry,No
Write a Python function that uses a list comprehension to return all the even numbers from a given list.,Programming,Computer Science,No
Student: 'What's the capital of Australia?' Teacher: 'The capital of Australia is Canberra.',Dialogue,Geography,No
Why do leaves change color in the fall?,Knowledge,Biology,No
Write a short piece of flash fiction (under 200 words) based on a historical event.,Creative,History,No
Solve the inequality: 2x - 5 > 7.,Math,Algebra,No
Outline a persuasive argument for why schools should teach financial literacy.,Instruction,Business,No
Write a Kotlin function to find the longest string in an array of strings.,Programming,Computer Science,No
"Based on the provided chart of a company's stock performance, describe the overall trend for the past year.",Reading,Business,Yes
"If you are digging a hole, and you separate the dirt into two piles, is the total weight of the two piles of dirt less than, greater than, or equal to the weight of the dirt before you dug the hole?",Commonsense,Physics,No
"Write a laudatory poem for a common object, like a fork or a key.",Creative,Literature,No
What is the purpose of an index in a database?,Knowledge,Computer Science,No
Traveler: 'I'd like to book a flight.' Booking System: 'I can help with that. Where would you like to fly from and to?',Dialogue,Travel,Yes
What is the difference between a simile and a metaphor?,Knowledge,Literature,No
"Write a short, engaging story to explain a complex scientific concept (e.g., black holes, DNA) to a child.",Creative,Physics,No
Provide a list of three effective techniques for memorization.,Instruction,Study Skills,No
"A farmer has 17 sheep, and all but 9 die. How many are left?",Commonsense,Arithmetic,No
Write a function in PHP that checks if an email address is valid using a regular expression.,Programming,Computer Science,No
Read the attached legal disclaimer and explain who is not liable in case of an accident.,Reading,Daily Life,Yes
"What is the Pythagorean theorem, and what is it used for?",Knowledge,Geometry,No
"Write a short, optimistic story about the first human colony on Mars.",Creative,Astronomy,No
What is the difference between qualitative and quantitative data?,Knowledge,Research Methods,No
Write a short dialogue where a character confesses a long-held secret.,Creative,Literature,No
Convert the binary number 1011 to its decimal equivalent.,Math,Computer Science,No
Write a recipe for a simple pasta dish.,Instruction,Culinary Arts,No
"Caller: 'What are your hours?' IVR System: 'Our business hours are Monday to Friday, 9 AM to 5 PM Eastern Time.'",Dialogue,Business,No
What is the significance of the Nile River to ancient Egyptian civilization?,Knowledge,History,No
"Write a Rust program to print the numbers from 1 to 100, but for multiples of three print 'Fizz' and for multiples of five print 'Buzz'.",Programming,Computer Science,No
"Imagine you are a tour guide for your own hometown. Write a short, welcoming speech for a group of tourists.",Creative,Travel,No
"Based on the attached consumer report, which of the two products is the better value? Explain your reasoning.",Reading,Business,Yes
"If you drop a coin and a feather at the same time in a vacuum, which will hit the ground first?",Commonsense,Physics,No
What is the definition of irony? Provide an example.,Knowledge,Literature,No
Write a story that is told in reverse chronological order.,Creative,Literature,No
"Find the slope of the line that passes through the points (2, 3) and (5, 9).",Math,Algebra,No
Write a brief explanation of how GPS (Global Positioning System) works.,Knowledge,Technology,No
Provide a set of instructions for a user to clear their web browser's cache.,Instruction,Computer Science,No
Inquisitive Person: 'Tell me something interesting.' AI Assistant: 'The national animal of Scotland is the unicorn.',Dialogue,Daily Life,No
What are the main causes of volcanic eruptions?,Knowledge,Geology,No
Write a Python script that finds and deletes duplicate files in a specified folder.,Programming,Computer Science,No
"Write a short, comedic scene about two people arguing over the last piece of pizza.",Creative,Daily Life,No
Read the attached medication label and identify the active ingredient and the recommended dosage for an adult.,Reading,Daily Life,Yes
What is the purpose of a resume or CV?,Knowledge,Business,No
"If you are on a boat and you throw a heavy suitcase overboard, will the water level of the lake rise, fall, or stay the same?",Commonsense,Physics,No
"Write a short story from the perspective of an inanimate object, such as a park bench or a teapot.",Creative,Literature,No
What is the difference between HTTP and HTTPS?,Knowledge,Computer Science,No
Calculate 20% of 150.,Math,Arithmetic,No
"Write a short, heartfelt thank-you note to a teacher who has had a positive impact on you.",Instruction,Daily Life,No
Passenger: 'I need to change my flight.' Airline Representative: 'I can assist with that. Please provide your booking reference number.',Dialogue,Travel,Yes
What are the main functions of the human skeleton?,Knowledge,Biology,No
Write a short script for a commercial advertising a fictional product.,Creative,Business,No
Read the attached two descriptions of the same historical event from different perspectives and identify three key differences in their accounts.,Reading,History,Yes
How many people lost their lives in WWII?,Knowledge,History,Yes
